study,sample,Human-Infecting Viruses,DNA Viruses,RNA Viruses,Viruses
Brinch 2020,ERR3562880,2.699419624780672e-05,0.0007558374949385882,0.0,0.0007558374949385882
Brinch 2020,ERR3562881,2.1677866897897247e-05,0.0009971818773032734,0.0,0.0009971818773032734
Brinch 2020,ERR3562882,3.895028969277959e-06,0.002800525828910852,0.0,0.0028005258289108526
Brinch 2020,ERR3562883,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562884,0.0,0.08333333333333333,0.0,0.08333333333333333
Brinch 2020,ERR3562885,1.1284198173088315e-05,0.003759518691333924,0.0,0.0037613993910294388
Brinch 2020,ERR3562886,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562887,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562888,6.52734413246157e-06,0.00424567472793667,1.4505209183247933e-06,0.00424857576977332
Brinch 2020,ERR3562889,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562890,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562891,3.3666769013644468e-06,0.0024374740765878596,0.0,0.0024381474119681322
Brinch 2020,ERR3562892,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562893,3.0226867755942223e-06,0.004458462994001479,0.0,0.004461485680777072
Brinch 2020,ERR3562894,0.0,0.0,0.0,0.0
Brinch 2020,ERR3562895,1.2214953872262527e-05,0.0038705117169909194,0.0,0.0038705117169909194
Brinch 2020,ERR3562896,0.0,0.05263157894736842,0.0,0.05263157894736842
Brinch 2020,ERR3562897,0.0,0.0009037352123777749,0.0,0.0009071327131761876
Brinch 2020,ERR3562898,5.024376600473296e-06,0.005298205125199091,0.0,0.005302392105699485
Brinch 2020,ERR3562899,0.0,0.0013350948586989732,0.0,0.0013357924004224312
Brinch 2020,ERR3562900,4.608318526976585e-06,0.0036062652650551206,1.0240707837725744e-06,0.003612409689757756
Brinch 2020,ERR3562901,1.1040732574687796e-05,0.0013403449345670982,0.0,0.0013436571543395048
Brinch 2020,ERR3562902,5.27580594530572e-06,0.0020971328632590235,0.0,0.0020997707662316766
Brinch 2020,ERR3562903,1.295231927467012e-06,0.002403302841415041,1.295231927467012e-06,0.0024052456893062413
Brinch 2020,ERR3562904,2.3880511472794726e-06,0.005225652923034306,1.1940255736397363e-06,0.005229234999755225
Brinch 2020,ERR3562905,3.846836553959851e-06,0.003675377553269069,0.0,0.003678674841743892
Brinch 2020,ERR3562906,4.118904536149566e-06,0.005066840994397701,0.0,0.005068017824265173
Brinch 2020,ERR3562907,4.7431214363594645e-06,0.004906759125913866,5.928901795449331e-07,0.0049103164669911355
Brinch 2020,ERR3562908,3.176829981142337e-06,0.0029449213925189467,6.353659962284674e-07,0.002946827490507632
Brinch 2020,ERR3562909,4.789242540241611e-06,0.00279144422345511,2.0525325172464044e-06,0.0027962334659953516
Brinch 2020,ERR3562910,7.028414474035631e-07,0.0028275311429045344,7.028414474035631e-07,0.0028310453501415524
Brinch 2020,ERR3562911,2.888502086365057e-06,0.0025765438610376307,0.0,0.0025771215614549038
Brinch 2020,ERR3562912,5.216450831183479e-06,0.003121756019639358,5.796056479092754e-07,0.003124074442230995
Brinch 2020,ERR3562913,0.0,0.002134055354445692,5.695370574981831e-07,0.002136903039733183
Brinch 2020,ERR3562914,3.0120590797316135e-06,0.003992785516092227,6.024118159463227e-07,0.003994592751540066
Brinch 2020,ERR3562915,3.985631230039816e-06,0.003288715140672854,1.7081276700170641e-06,0.003290992644232877
Brinch 2020,ERR3562916,1.0735511353876807e-06,0.002697297227661548,5.367755676938403e-07,0.0026978340032292416
Brinch 2020,ERR3562917,0.0,0.0013466268268390348,0.0,0.0013491676321726934
Brinch 2020,ERR3562918,4.461928594269396e-06,0.0030727814919201913,1.4873095314231322e-06,0.0030772434205144604
Brinch 2020,ERR3562919,1.4726325958389292e-06,0.0031367074291369194,0.0,0.0031381800617327586
Brinch 2020,ERR3562920,2.683365962446571e-06,0.0082282178693297,3.7011944309607876e-07,0.008229328227658988
Brinch 2020,ERR3562921,8.594183263742661e-06,0.00614608190495633,1.378745978140534e-07,0.0061470929853403
Brinch 2020,ERR3562922,1.2372074622955401e-06,0.0032284741272926016,2.2494681132646186e-07,0.0032293364234026864
Brinch 2020,ERR3562923,1.1341458942595458e-06,0.004106238218271922,5.8807564887532e-07,0.004107624396587128
Brinch 2020,ERR3562924,1.4837079959793492e-05,0.007228229700945795,3.956554655944931e-07,0.00723001015054097
Brinch 2020,ERR3562925,5.778058308928741e-06,0.006361873320462901,4.622446647142993e-07,0.006363722299121758
Brinch 2020,ERR3562926,2.500469532612235e-06,0.006633745670020259,5.556598961360523e-07,0.006635412649708667
Brinch 2020,ERR3562927,5.53929388128213e-06,0.007206759821895083,2.769646940641065e-07,0.007207590715977276
Brinch 2020,ERR3562928,2.8952513841494986e-06,0.010058980657439646,5.264093425726362e-07,0.010060428283131721
Brinch 2020,ERR3562929,4.150185341012899e-06,0.005003361650126221,1.9576345948174051e-07,0.00500422300934794
Brinch 2020,ERR3562930,2.591888382918678e-06,0.0006670512741039319,4.31981397153113e-07,0.0006680592306972892
Brinch 2020,ERR3562931,2.9694780146472016e-06,0.0007326844369063357,5.482113257810219e-07,0.0007341006494979367
Brinch 2020,ERR3562932,6.537140167576617e-06,0.004711792347148292,0.0,0.004712089489883181
Brinch 2020,ERR3562933,1.5607364297683472e-05,0.006687383997645517,0.0,0.00668837494141045
Brinch 2020,ERR3562934,1.6332835605291258e-06,0.0032221055130216255,1.8147595116990286e-07,0.003222831416826305
Brinch 2020,ERR3562935,1.399975173773585e-06,0.0025857541459598115,1.3333096893081762e-07,0.0025865541317733965
Brinch 2020,ERR3562936,6.7557452208507155e-06,0.0071657610493687475,2.7022980883402866e-07,0.007166880572862488
Brinch 2020,ERR3562937,4.952372996313056e-06,0.00467070678214775,5.864652232475987e-07,0.004671912293995537
Brinch 2020,ERR3562938,3.3429860729608304e-06,0.004515100666066097,4.775694389944043e-07,0.0045163741845700815
Brinch 2020,ERR3562939,7.672294879065216e-06,0.005729309880864415,2.8415906959500796e-07,0.005730351797452931
Brinch 2020,ERR3562940,2.433216055068876e-06,0.004948130432257945,3.2992760068730516e-07,0.0049492851788603505
Brinch 2020,ERR3562941,3.1321180394097547e-06,0.005261315820456715,1.6062143791844896e-07,0.005262078772286827
Brinch 2020,ERR3562942,6.752381396108872e-06,0.006140905029395528,2.572335769946237e-07,0.006142062580492004
Brinch 2020,ERR3562943,1.0819113646828308e-05,0.010032104543756349,2.5329028604614767e-07,0.010033407179513157
Brinch 2020,ERR3562944,6.719196530695581e-06,0.00750663206755548,3.0541802412252636e-07,0.007507684062971903
Brinch 2020,ERR3562945,6.440148932795523e-06,0.004270819576399204,2.1757259908092983e-07,0.004272951787870197
Brinch 2020,ERR3562946,5.3177346450412125e-06,0.005743733533151241,5.317734645041212e-07,0.0057452321674602985
Brinch 2020,ERR3562947,4.839512375287901e-06,0.004554322757784171,1.7080631912780827e-07,0.004555518402018065
Brinch 2020,ERR3562948,4.199432740625396e-06,0.00621356467168415,2.519659644375238e-07,0.0062154544164174305
Brinch 2020,ERR3562949,5.5564052225208325e-06,0.006355451021051969,1.7363766320377601e-07,0.0063569443049555216
Brinch 2020,ERR3562950,7.333303022347508e-06,0.005603489659422228,4.5128018599061587e-07,0.005605464010235937
Brinch 2020,ERR3562951,1.5422262028647643e-05,0.010951519625009676,2.9658196208937775e-07,0.010952936627717437
Brinch 2020,ERR3562952,7.554427086334298e-06,0.004729743572014816,2.56082274113027e-07,0.004730831921679797
Brinch 2020,ERR3562953,5.8360033048453e-06,0.0064481423328095686,3.2065952224424727e-07,0.006449617366611891
Brinch 2020,ERR3562954,3.305927342593339e-06,0.005082929407784109,3.0855321864204496e-07,0.005084604410971024
Brinch 2020,ERR3562955,8.11424440981633e-06,0.007879827662883905,3.3023087714368783e-07,0.007880959883034111
Brinch 2020,ERR3562956,5.236725705063861e-06,0.006353589580895233,1.92173420369316e-07,0.0063542621878665256
Brinch 2020,ERR3562957,4.018493246922099e-06,0.0035643330101383765,5.287491114371182e-07,0.003566448006584125
Brinch 2020,ERR3562958,1.8725781712439031e-06,0.004264515898282303,4.681445428109758e-07,0.004265920331910735
Brinch 2020,ERR3562959,7.556030004654787e-06,0.009863932010070532,3.403617119213868e-07,0.00986545229238378
Brinch 2020,ERR3562960,1.429400594118623e-05,0.00601229052880995,3.0477624608072986e-07,0.006013997275788002
Brinch 2020,ERR3562961,7.228878836643957e-06,0.006334737241844067,5.500233897446489e-07,0.006336190875088392
Brinch 2020,ERR3562962,6.865732000428377e-06,0.005885902001580357,8.441473771018496e-07,0.005887083807908299
Brinch 2020,ERR3562963,1.0923192408631972e-05,0.007202502378032708,0.0,0.007203218652944749
Brinch 2020,ERR3562964,1.5483508277126212e-05,0.007835846227324104,1.98506516373413e-07,0.007836044733840478
Brinch 2020,ERR3562965,7.91513080149406e-06,0.006557685869037829,5.936348101120545e-07,0.006558675260388016
Brinch 2020,ERR3562966,4.004608141342515e-06,0.0023273232346589273,7.750854467114546e-07,0.002329002586460136
Brinch 2020,ERR3562967,1.881333432172046e-05,0.007240585294073777,2.2486056958231624e-07,0.007242908853292794
Brinch 2020,ERR3562968,1.8885365676179342e-05,0.006964845778249732,2.3124937562668581e-07,0.006966079108253074
Brinch 2020,ERR3562969,1.1965497487993371e-05,0.007773358248762421,0.0,0.007774174078136602
Brinch 2020,ERR3562970,1.023073622291523e-05,0.00596429841070297,7.360241886989374e-07,0.005966653688106806
Brinch 2020,ERR3562971,1.272077482933346e-05,0.006012532044788229,0.0,0.006013457192048544
Brinch 2020,ERR3562972,1.0838420031327049e-05,0.007306500081488861,4.01422964123224e-07,0.00730750363889917
Brinch 2020,ERR3562973,6.343739908249697e-06,0.0028802561602174954,7.929674885312121e-07,0.0028818420951945574
Brinch 2020,ERR3562974,9.01554361679022e-06,0.0050450982079558076,1.639189748507313e-07,0.005045917802830061
Brinch 2020,ERR3562975,0.0,0.007426912921082686,0.0,0.007426912921082686
Brinch 2020,ERR3562976,1.672621114619732e-05,0.007908252487899085,0.0,0.00791000000249645
Brinch 2020,ERR3562977,7.426166729696257e-06,0.00680533919109365,3.713083364848128e-07,0.006806824424439589
Brinch 2020,ERR3562978,8.003459055962723e-06,0.004659379614799372,3.9041263687623043e-07,0.004661526884302191
Brinch 2020,ERR3562979,4.823448907456666e-06,0.004663953530250098,0.0,0.004664596656771093
Brinch 2020,ERR3562980,1.3716705207262761e-05,0.006394995610654333,0.0,0.006397002933367591
Brinch 2020,ERR3562981,9.197929086266228e-06,0.004529980074986117,0.0,0.004531992121973738
Brinch 2020,ERR3562982,1.2062268878312385e-05,0.006745910029259619,3.446362536660681e-07,0.006746943938020616
Brinch 2020,ERR3562983,8.35299362550033e-06,0.0033878188099703663,7.7702266283724e-07,0.0033889843439646222
Brinch 2020,ERR3562984,8.330832722269476e-06,0.0029353934121408324,3.2669932244194024e-07,0.0029360468107857167
Brinch 2020,ERR3562985,1.3695922702740743e-05,0.005723842157230036,4.2141300623817673e-07,0.005726792048273702
Brinch 2020,ERR3562986,1.129024442908762e-05,0.006081678332468532,2.352134256059921e-07,0.006082619186170956
Brinch 2020,ERR3562987,1.3388066495436728e-05,0.006046600083349296,5.149256344398742e-07,0.0060479732183744694
Brinch 2020,ERR3562988,2.591615980940785e-06,0.003143630184881172,2.3560145281279862e-07,0.0031452793950508618
Brinch 2020,ERR3562989,1.9012474262605642e-05,0.005630663080834802,5.941398207064263e-07,0.005631554290565862
Brinch 2020,ERR3562990,9.452210055604774e-06,0.0032484095224428406,8.592918232367977e-07,0.003250128106089314
Brinch 2020,ERR3562991,2.9190830187210526e-06,0.0015665745533802982,0.0,0.0015665745533802982
Brinch 2020,ERR3562992,3.666746200137817e-06,0.002432100372462841,0.0,0.002432362282905708
Brinch 2020,ERR3562993,2.0698553171133337e-06,0.0015638906840411855,0.0,0.0015641206679653092
Brinch 2020,ERR3562994,5.043821986373106e-06,0.0024230520822536403,2.5219109931865533e-07,0.002423808655551596
Brinch 2020,ERR3562995,6.655561738654578e-06,0.004428906583644696,1.1092602897757631e-06,0.004431494857654174
Brinch 2020,ERR3562996,1.0889086299300971e-05,0.006584605161730787,2.532345651000226e-07,0.006586124569121388
Brinch 2020,ERR3562997,1.138295976097854e-05,0.005068780240837558,2.587036309313305e-07,0.0050705911662540775
Brinch 2020,ERR3562998,1.0335321160103127e-05,0.0043985126472658245,0.0,0.004400179634549712
Brinch 2020,ERR3562999,7.8970851858579e-06,0.0028487418627118066,2.6323617286193e-07,0.002850058043576116
Brinch 2020,ERR3563000,1.0967731261584667e-05,0.0033903302160810363,3.717875003927005e-07,0.003392746834833589
Brinch 2020,ERR3563001,1.947154234086882e-05,0.0037580076717876826,0.0,0.003761547952213295
Brinch 2020,ERR3563002,5.644307588799775e-06,0.003882436974955925,2.8221537943998874e-07,0.003884976913370885
Brinch 2020,ERR3563003,7.962015876259657e-06,0.0034064157923930903,5.687154197328327e-07,0.003407742795039133
Brinch 2020,ERR3563004,6.580154307250566e-06,0.004401070406861469,5.264123445800453e-07,0.004402912850067499
Brinch 2020,ERR3563005,7.959565407728738e-06,0.0026029339582372525,0.0,0.0026040264476069413
Brinch 2020,ERR3563006,3.4428084630587974e-06,0.002648049370932686,2.6483142023529213e-07,0.002649903190874333
Brinch 2020,ERR3563007,1.0938046902345117e-05,0.00618218410920546,2.1876093804690235e-06,0.006186559327966398
Brinch 2020,ERR3563008,1.0684011803696241e-05,0.00503216955954093,2.136802360739248e-06,0.005034306361901669
Brinch 2020,ERR3563009,1.5965157639966537e-06,0.0014656014713489282,0.0,0.0014687945028769214
Brinch 2020,ERR3563010,2.4453225869556714e-06,0.00491998904495481,1.2226612934778357e-06,0.004922434367541766
Brinch 2020,ERR3563011,1.2579636085105431e-05,0.004176439180255003,0.0,0.004176439180255003
Brinch 2020,ERR3563012,3.1108359749515485e-06,0.002351791997063371,0.0,0.0023533474150508465
Brinch 2020,ERR3563013,1.0343232112931546e-05,0.005413187988703351,9.193984100383596e-07,0.005414796935920919
Brinch 2020,ERR3563014,7.36857618055117e-06,0.00564064506621192,0.0,0.005641697719951999
Brinch 2020,ERR3563015,1.2967173878790795e-05,0.005449007678634977,2.235719634274275e-07,0.005451355184250965
Brinch 2020,ERR3563016,8.116302874201364e-06,0.00495843672514671,0.0,0.004959685387127356
Brinch 2020,ERR3563017,8.17401314767722e-06,0.004895639401775188,8.917105252011513e-07,0.00489742282282559
Brinch 2020,ERR3563018,3.704862159214043e-06,0.0031482066197921336,4.631077699017554e-07,0.0031501516724257205
Brinch 2020,ERR3563019,4.7372660618068675e-06,0.006220030339152417,2.429367211183009e-07,0.006221427225298847
Brinch 2020,ERR3563020,2.0815669315751257e-06,0.00279115622097937,5.625856571824664e-07,0.0027927314608194812
Brinch 2020,ERR3563021,1.371496221459335e-06,0.0024209651301200187,2.0572443321890027e-07,0.0024227480752079156
Brinch 2020,ERR3563022,3.5170833531169272e-06,0.004897858304065605,7.993371257083925e-07,0.00490025631544273
Brinch 2020,ERR3563023,4.162566833553123e-06,0.0034979731842130664,8.856525177772602e-08,0.00350018731550751
Brinch 2020,ERR3563024,2.4005530456729746e-06,0.0010717425630214323,4.69673421979495e-07,0.0010729428395442686
Brinch 2020,ERR3563025,2.291080213773058e-06,0.0009283734732901009,6.942667314463811e-08,0.0009295537267335597
Brinch 2020,ERR3563026,9.75600989464793e-06,0.006727111138496402,8.557903416357833e-08,0.006728822719179674
Brinch 2020,ERR3563027,2.1947632003279577e-06,0.0036988645457134957,4.303457255545016e-08,0.0037005428940431588
Brinch 2020,ERR3563028,2.768488497348786e-06,0.0024476013654700338,1.2876690685343192e-07,0.0024485671172714343
Brinch 2020,ERR3563029,5.138808166122487e-06,0.004462465579414293,6.128853776109388e-07,0.004464681395779502
Brinch 2020,ERR3563030,4.2087592697922915e-06,0.003397430732841189,1.2025026485120833e-07,0.0033986933606221267
Brinch 2020,ERR3563031,1.255260080798927e-06,0.0014054151573607023,5.194179644685216e-07,0.0014070599809148526
Brinch 2020,ERR3563032,4.777836775530104e-06,0.0027075830369901405,2.986147984706315e-07,0.0027090334517255693
Brinch 2020,ERR3563033,2.491828670831177e-06,0.0016838532243141678,6.229571677077942e-08,0.0016859089829676034
Brinch 2020,ERR3563034,4.165172509264169e-06,0.0015782074402083592,5.894112041411559e-07,0.0015795827330180219
Brinch 2020,ERR3563035,9.286839349668976e-06,0.0035854130366848864,3.4652385633093193e-07,0.003586729827338944
Brinch 2020,ERR3563036,3.866268698741943e-06,0.0012056758957611298,6.665980515072316e-08,0.001206809112448692
Brinch 2020,ERR3563037,1.4102555191608899e-06,0.0006628200940056182,4.532964168731432e-07,0.0006639281519135304
Brinch 2020,ERR3563038,5.340286944555468e-06,0.003654043086207158,1.2868161312181852e-07,0.0036548151758858892
Brinch 2020,ERR3563039,5.360424738251141e-06,0.003588304661647946,9.085465658052782e-08,0.0035893949175269126
Brinch 2020,ERR3563040,6.692060086084507e-06,0.0035098701348050118,3.8460115437267284e-07,0.0035117931405768757
Brinch 2020,ERR3563041,4.54796771106652e-06,0.0024350273921821255,5.912358024386476e-07,0.0024373013760376587
Brinch 2020,ERR3563042,7.638565973816905e-07,0.000227120028288156,5.092377315877937e-07,0.00022871139619936784
Brinch 2020,ERR3563043,7.826801802544797e-06,0.0054579975974952686,4.527901869240792e-07,0.005460973075866483
Brinch 2020,ERR3563044,4.6447376602819135e-07,0.00037047588762823615,4.0641454527466745e-07,0.0003718693089263207
Brinch 2020,ERR3563045,3.7197888502686098e-06,0.0015950636043066445,5.443593439417478e-07,0.0015982390338129713
Brinch 2020,ERR3563046,1.1970692324990616e-06,0.0005761893239095483,2.280131871426784e-07,0.0005776144063291901
Brinch 2020,ERR3563047,3.652619119671308e-07,0.0003625224476273773,4.2613889729498595e-07,0.00036386174130459013
Brinch 2020,ERR3563048,2.6910916792142967e-06,0.002317129605865703,1.9934012438624423e-07,0.002319422017296145
